¿En qué región vives actualmente?,¿Qué edad tienes?,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual como desarrollador web? ,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",Tu función principal en el desarrollo web es:,¿Qué sistema operativo usas principalmente como entorno de desarrollo?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Qué editor utilizas regularmente?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Cuantos años de experiencia tienes con...? [Rust],¿Cuantos años de experiencia tienes con...? [Lisp],¿Cuantos años de experiencia tienes con...? [Scala],¿Cuantos años de experiencia tienes con...? [Swift],¿Cuantos años de experiencia tienes con...? [Kotlin],¿Cuantos años de experiencia tienes con...? [JavaScript],¿Cuantos años de experiencia tienes con...? [TypeScript],¿Cuantos años de experiencia tienes con...? [Flow],¿Qué frameworks backend cononces?,¿Qué frameworks backend utilizas?,¿Qué frameworks de JavaScript conoces?,¿Qué frameworks de JavaScript utilizas?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?,¿Sueles utilizar test en tus proyectos?,¿Contribuyes con algún proyecto open source o software libre?,¿Haz asistido a algún evento o meetup local?,Indica el nombre de la comunidad o del meetup al que asististe,En los últimos 12 meses ¿Has asistido ha alguna conferencia internacional fuera del Perú?
Lima,17 - 23 años,Hombre,Escolar,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,,,"jQuery, React",React,SASS,WebPack,,,,"Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo",,,No,He hecho alguna contribución alguna vez,"Sí, al menos una vez al mes","Hackspace, Lima Front-end, Lima Js, etc.",No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,No,De 2501 a 3500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Visual Studio Code, Notepad++",Menos de 1 año,Menos de 1 año,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Symfony (PHP), Spring Boot (Java)",Spring Boot (Java),"jQuery, jQuery UI","jQuery, jQuery UI",,,"MySQL, Microsoft SQL Server, PostgreSQL",MongoDB,,"Documentación en la web, Libros, revistas y otras publicaciones impresas",Android,,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha disminuido,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory","Visual Studio Code, Sublime, PhpStorm",No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,De 1 a 3 años,No conozco,"Laravel (PHP), Django (Python), Express (Node.js)","Laravel (PHP), Express (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, D3.js, Vue.js, Kendo","jQuery, React, D3.js, Angular","SASS, LESS, Stylus, Pug","Grunt, Gulp, WebPack","MySQL, PostgreSQL","MongoDB, CouchDB, Elasticsearch","Amazon Web Services, Microsoft Azure, DigitalOcean","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups","Android, Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework, Phonegap, React Native",Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Everis,No
Lima,24 - 30 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente,,,Sí,,No,De 5501 a más,Es igual,Backend,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Inspector de memoria / Profiles / Memory",PhpStorm,Menos de 1 año,No conozco,De 1 a 3 años,De 1 a 3 años,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Zend Framework, Symfony (PHP), Spring Boot (Java), Express (Node.js)","Laravel (PHP), Yii","jQuery, jQuery UI, Backbone.js, React, D3.js, Vue.js","jQuery, jQuery UI, Vue.js","SASS, LESS",,"MySQL, Microsoft SQL Server, Oracle Database","MongoDB, Redis","Amazon Web Services, Google Cloud Platform",Documentación en la web,"Android, Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework, React Native, Progressive Web Apps",Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",PHP Peru,Sí
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 4501 a 5500 soles,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger","Visual Studio Code, Vim, Emacs",No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,"Django (Python), Spring Boot (Java), Flask (Python), Express (Node.js), Hapi (Node.js)","Django (Python), Flask (Python), Express (Node.js), Hapi (Node.js)","AngularJS, React, Vue.js","AngularJS, React, Vue.js","SASS, Stylus, Pug, PostCSS","Gulp, WebPack, Parcel","MySQL, PostgreSQL, Oracle Database","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Heroku","Documentación en la web, Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),"Ionic Framework, React Native",Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Hackspace,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,No,,,Sí,De 3501 a 4500 soles,Es igual,Frontend,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,"CodeIgniter (PHP), Express (Node.js)",Express (Node.js),"jQuery, AngularJS, React, Vue.js","AngularJS, React, Vue.js","SASS, LESS, Stylus, Pug","Gulp, WebPack",MySQL,MongoDB,"Amazon Web Services, Google Cloud Platform, Microsoft Azure, Heroku, Zeit","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas",Webapps móviles (híbridas para cualquier plataforma),"React Native, Flutter",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Front End Perú,No
Junín,24 - 30 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Fullstack,Microsoft Windows,Depurador de JavaScript / Debugger,Sublime,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,CodeIgniter (PHP),CodeIgniter (PHP),jQuery,jQuery,,,,,Microsoft Azure,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En la universidad o instituto",Android,Xamarin,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Callao,31 - 40 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como independiente,,,,Sí,No,De 5501 a más,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage",Sublime,No conozco,No conozco,De 1 a 3 años,Más de 6 años,Más de 6 años,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,Más de 6 años,No conozco,No conozco,"CodeIgniter (PHP), Express (Node.js)","CodeIgniter (PHP), Express (Node.js)","jQuery, jQuery UI","jQuery, jQuery UI","SASS, LESS","Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis, Apache Cassandra, CouchDB","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Heroku","Documentación en la web, Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas, En la universidad o instituto","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Apache Cordova, Phonegap, Progressive Web Apps, Flutter, Unity",Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,17 - 23 años,Hombre,Estudiantes de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Fullstack,Microsoft Windows,Inspector / Elements / DOM Explorer,"Visual Studio Code, Atom, NetBeans, PhpStorm",Menos de 1 año,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Spring Boot (Java)","Laravel (PHP), CodeIgniter (PHP), Spring Boot (Java)","jQuery, AngularJS, React","jQuery, AngularJS",SASS,ninguno,"MySQL, Microsoft SQL Server","MongoDB, Redis, Apache Cassandra, CouchDB",ninguna,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), En la universidad o instituto, Cursos de educación continua (fuera de planes de estudio superior)",Webapps móviles (híbridas para cualquier plataforma),Apache Cordova,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,No trabajo actualmente,,,,,,,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,Express (Node.js),Express (Node.js),"jQuery, jQuery UI, AngularJS, React, Vue.js, Sencha","jQuery, React",SASS,WebPack,MySQL,MongoDB,Heroku,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En la universidad o instituto","Android, Webapps móviles (híbridas para cualquier plataforma)","React Native, Progressive Web Apps",A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,No,,,Sí,De 1501 a 2500 soles,Es igual,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Visual Studio Code, Vim",De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Symfony (PHP), Flask (Python), Express (Node.js)","Django (Python), Symfony (PHP), Express (Node.js)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, AngularJS, React","SASS, LESS, Stylus, Pug","Grunt, Gulp","MySQL, Microsoft SQL Server, PostgreSQL",,Una nube privada (implementación a medida),"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos de educación continua (fuera de planes de estudio superior)","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, React Native",No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",,No
Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory","Visual Studio Code, Sublime",Menos de 1 año,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,De 1 a 3 años,Menos de 1 año,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Express (Node.js), Hapi (Node.js)","Django (Python), Hapi (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, D3.js, Dojo, Zepto.js, Vue.js, Framework7, Sencha, Kendo","AngularJS, React","SASS, LESS, Stylus",WebPack,"MySQL, PostgreSQL, Oracle Database","Apache Cassandra, CouchDB","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Heroku, Zeit","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de planes de estudio superior)","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Phonegap, React Native",Sí,He hecho alguna contribución alguna vez,"Sí, al menos una vez al mes",Agile peru,No
Lima,17 - 23 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources","Visual Studio Code, Sublime, Atom",No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,"Django (Python), Flask (Python), Express (Node.js)","Django (Python), Express (Node.js)","jQuery, React","jQuery, React",SASS,WebPack,"MySQL, PostgreSQL",,Heroku,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En la universidad o instituto, Comunidades locales de desarrollo",,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,No conozco,De 4 a 6 años,Más de 6 años,Más de 6 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,Menos de 1 año,No conozco,"CodeIgniter (PHP), Symfony (PHP), Express (Node.js)","CodeIgniter (PHP), Symfony (PHP), Express (Node.js)","jQuery, jQuery UI, AngularJS, React","jQuery, AngularJS, React","Stylus, Pug","Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida)","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas, En la universidad o instituto, Cursos de educación continua (fuera de planes de estudio superior)","Android, Webapps móviles (híbridas para cualquier plataforma), iOS","Ionic Framework, Apache Cordova, Phonegap, React Native, Progressive Web Apps",No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,De 4 a 6 años,No conozco,De 1 a 3 años,De 4 a 6 años,Más de 6 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,Más de 6 años,No conozco,No conozco,"CodeIgniter (PHP), Symfony (PHP)",Symfony (PHP),"jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, AngularJS, React","SASS, Stylus",WebPack,"MySQL, Microsoft SQL Server, PostgreSQL",MongoDB,"Amazon Web Services, Microsoft Azure","Documentación en la web, Youtube",Webapps móviles (híbridas para cualquier plataforma),"Ionic Framework, Apache Cordova",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",No recuerdo el nombre fue hace tiempo,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 4501 a 5500 soles,Ha aumentado,Backend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de memoria / Profiles / Memory","Visual Studio Code, Notepad++, IntelliJ",Menos de 1 año,No conozco,Más de 6 años,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,"CodeIgniter (PHP), Zend Framework, Spring Boot (Java)",Spring Boot (Java),"jQuery, jQuery UI, AngularJS","jQuery, jQuery UI, AngularJS",,WebPack,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",MongoDB,"Amazon Web Services, Microsoft Azure","Documentación en la web, Cursos en línea de plataformas de pago",Android,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 1501 a 2500 soles,Es igual,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de memoria / Profiles / Memory",Cloud9,No conozco,No conozco,No conozco,Menos de 1 año,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP)",Laravel (PHP),"jQuery, jQuery UI, React, Vue.js","jQuery, jQuery UI, Ember.js, Vue.js","SASS, LESS","Gulp, WebPack","MySQL, PostgreSQL",MongoDB,Amazon Web Services,"Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups",Webapps móviles (híbridas para cualquier plataforma),React Native,A veces,"No, y no me gustaría hacerlo","Sí, de vez en cuando",Frontend js,No
Tacna,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como independiente,,,,No,Sí,De 1501 a 2500 soles,Ha aumentado,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,"Laravel (PHP), CodeIgniter (PHP)","Laravel (PHP), CodeIgniter (PHP)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, React, Vue.js","SASS, LESS, Stylus","Grunt, Gulp, WebPack",MySQL,Redis,Heroku,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Seminarios Web / Webinars",,,No,"Sí, regularmente (al menos una vez al mes)","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Graduado de universidad,De 4 a 6 años,No trabajo actualmente,,,,,,,Ha aumentado,Backend,Microsoft Windows,"Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Audio web","Visual Studio Code, Sublime",Menos de 1 año,No conozco,No conozco,De 1 a 3 años,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Zend Framework, Symfony (PHP), Express (Node.js)","Laravel (PHP), Django (Python), Express (Node.js)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI, React, Vue.js, Gatsby.js","SASS, LESS","Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars",,,A veces,He hecho alguna contribución alguna vez,"No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,Mayor a 10 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Ha disminuido,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Canvas, Accesibilidad","Visual Studio Code, Sublime, Notepad++, IntelliJ, PhpStorm, WebStorm",Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Más de 6 años,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Zend Framework, Symfony (PHP), Flask (Python), Express (Node.js), Laminas (PHP)","Laravel (PHP), CodeIgniter (PHP), Django (Python), Zend Framework, Symfony (PHP), Flask (Python), Express (Node.js), Laminas (PHP)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, Vue.js, Sencha","jQuery, jQuery UI, AngularJS, Vue.js","SASS, LESS, Stylus","Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database","MongoDB, Redis","Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform, Microsoft Azure, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Seminarios Web / Webinars","Webapps móviles (híbridas para cualquier plataforma), iOS",NativeScript,A veces,"Sí, de vez en cuando (varias veces al año)","Sí, al menos una vez al mes","Php Perú, digital ocean, frontend Perú, aws community, Lima js, gcp platforms",No
La Libertad,Mayor de 50 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Ha aumentado,Fullstack,GNU/Linux,"Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,"Laravel (PHP), Django (Python), Ruby on Rails","Laravel (PHP), Ruby on Rails","jQuery, AngularJS","jQuery, jQuery UI, AngularJS","SASS, LESS, Stylus, Pug","Grunt, Gulp, Brocoli","MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",MongoDB,"Amazon Web Services, Google Cloud Platform","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo","Android, Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework, Phonegap, Quasar Framework (Vue)",Sí,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Loreto,31 - 40 años,Hombre,Maestría,De 4 a 6 años,Trabajo como independiente,,,,Sí,No,De 1501 a 2500 soles,Es igual,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Inspector de almacenamiento / Resources / Storage","Visual Studio Code, Sublime",De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), Django (Python), Express (Node.js)","Laravel (PHP), Express (Node.js)","jQuery, AngularJS, React, Vue.js","jQuery, Vue.js",SASS,WebPack,"MySQL, PostgreSQL",MongoDB,"Amazon Web Services, Google Cloud Platform","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework, Apache Cordova, Flutter",No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
